,Artist,Song_Title
0,Ed Sheeran,Shape Of You
1,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
2,Bruno Mars,That's What I Like
3,Kendrick Lamar,Humble.
4,The Chainsmokers & Coldplay,Something Just Like This
5,Migos Featuring Lil Uzi Vert,Bad And Boujee
6,The Chainsmokers Featuring Halsey,Closer
7,Sam Hunt,Body Like A Back Road
8,Imagine Dragons,Believer
9,Post Malone Featuring Quavo,Congratulations
10,James Arthur,Say You Won't Let Go
11,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
12,Lil Uzi Vert,XO TOUR Llif3
13,Future,Mask Off
14,French Montana Featuring Swae Lee,Unforgettable
15,Bruno Mars,24K Magic
16,Zedd & Alessia Cara,Stay
17,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts
18,Rae Sremmurd Featuring Gucci Mane,Black Beatles
19,The Weeknd Featuring Daft Punk,Starboy
20,Khalid,Location
21,Charlie Puth,Attention
22,Shawn Mendes,There's Nothing Holdin' Me Back
23,Cardi B,Bodak Yellow (Money Moves)
24,Childish Gambino,Redbone
25,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker)
26,Kygo x Selena Gomez,It Ain't Me
27,KYLE Featuring Lil Yachty,iSpy
28,Julia Michaels,Issues
29,Alessia Cara,Scars To Your Beautiful
30,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
31,Niall Horan,Slow Hands
32,Rihanna,Love On The Brain
33,The Weeknd Featuring Daft Punk,I Feel It Coming
34,Big Sean,Bounce Back
35,Liam Payne Featuring Quavo,Strip That Down
36,Drake,Fake Love
37,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know
38,Taylor Swift,Look What You Made Me Do
39,Ed Sheeran,Castle On The Hill
40,Machine Gun Kelly x Camila Cabello,Bad Things
41,The Chainsmokers,Paris
42,Ariana Grande Featuring Nicki Minaj,Side To Side
43,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye
44,Portugal. The Man,Feel It Still
45,DJ Snake Featuring Justin Bieber,Let Me Love You
46,Demi Lovato,Sorry Not Sorry
47,21 Savage,Bank Account
48,Justin Timberlake,Can't Stop The Feeling!
49,J Balvin & Willy William Featuring Beyonce,Mi Gente
50,Imagine Dragons,Thunder
51,Migos,T-Shirt
52,Yo Gotti Featuring Nicki Minaj,Rake It Up
53,Shawn Mendes,Mercy
54,Kodak Black,Tunnel Vision
55,Post Malone Featuring 21 Savage,Rockstar
56,Brett Young,In Case You Didn't Know
57,twenty one pilots,Heathens
58,Halsey,Now Or Never
59,Amine,Caroline
60,Ayo & Teo,Rolex
61,Kendrick Lamar,DNA.
62,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem)
63,Rae Sremmurd,Swang
64,Drake,Passionfruit
65,Kendrick Lamar Featuring Rihanna,Loyalty.
66,Kesha,Praying
67,Travis Scott,Goosebumps
68,Maroon 5 Featuring Future,Cold
69,D.R.A.M. Featuring Lil Yachty,Broccoli
70,Calvin Harris Featuring Frank Ocean & Migos,Slide
71,Kane Brown Featuring Lauren Alaina,What Ifs
72,Katy Perry Featuring Skip Marley,Chained To The Rhythm
73,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
74,Jon Bellion,All Time Low
75,Luke Combs,Hurricane
76,Sam Smith,Too Good At Goodbyes
77,Khalid,Young Dumb & Broke
78,Playboi Carti,Magnolia
79,SZA Featuring Travis Scott,Love Galore
80,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning
81,Hailee Steinfeld & Grey Featuring Zedd,Starving
82,Gucci Mane Featuring Drake,Both
83,P!nk,What About Us
84,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla
85,Migos Featuring Gucci Mane,Slippery
86,Harry Styles,Sign Of The Times
87,Adele,Water Under The Bridge
88,Miley Cyrus,Malibu
89,Marian Hill,Down
90,Cheat Codes Featuring Demi Lovato,No Promises
91,Shawn Mendes,Treat You Better
92,Gucci Mane Featuring Migos,I Get The Bag
93,Dustin Lynch,Small Town Boy
94,YFN Lucci Featuring PnB Rock,Everyday We Lit
95,Camila Cabello Featuring Young Thug,Havana
96,Maroon 5 Featuring SZA,What Lovers Do
97,blackbear,Do Re Mi
98,XXXTENTACION,Look At Me!
99,Keith Urban Featuring Carrie Underwood,The Fighter
